GoldenTweaks Silent Gear 材料属性列表
材料总数：629
说明：仅包含已由材料设计文档明确分类的当前材料；所有配方均使用设计指定的具体物品 ID；原批注已保留。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注	材料类别	等级	语义偏移
alexandrite	goldentweaks:alexandrite	Alexandrite	11.722	9.378	5.968		宝石	3	偏高 0.41
aluminum	goldentweaks:aluminum	Aluminum Ingot	14.56	5.533	2.33		硬金属	2	
amethyst	goldentweaks:amethyst	Amethyst	5.5	4.4	2.8		宝石	1	偏低 0.18
ammolite	goldentweaks:ammolite	Ammolite	19.8	15.84	10.08		宝石	5	偏高 0.39
aquamarine	goldentweaks:aquamarine	Aquamarine	10.872	8.697	5.535		宝石	3	偏高 0.14
azure_electrum	goldentweaks:azure_electrum	Azure Electrum Ingot	14.36	12.206	1.436		软金属	3	
azure_silver	goldentweaks:azure_silver	Azure Silver Ingot	10.28	8.738	1.028		软金属	2	
basalt	goldentweaks:basalt	Basalt	6.868	2.325	1.479		石头	2	偏高 0.05
black_diamond	goldentweaks:black_diamond	Black Diamond	19.8	15.84	10.08		宝石	5	偏高 0.24
blackstone	goldentweaks:blackstone	Blackstone	5.08	1.72	1.094		石头	1	偏高 0.35
blaze_gold	goldentweaks:blaze_gold	Blaze Gold Ingot	8	6.8	0.8		软金属	1	
brass	goldentweaks:brass	Brass Ingot	18.88	7.174	3.021		硬金属	3	
bronze	goldentweaks:bronze	Bronze Ingot	20	7.6	3.2		硬金属	3	
carnelian	goldentweaks:carnelian	Carnelian	8.426	6.741	4.29		宝石	2	偏高 0.33
citrine	goldentweaks:citrine	Citrine Silentgems	9.845	7.876	5.012		宝石	3	偏低 0.28
certus_quartz	goldentweaks:compat/ae2/certus_quartz	Certus Quartz Crystal	5.5	4.4	2.8		宝石	1	偏低 0.55
charged_certus_quartz	goldentweaks:compat/ae2/charged_certus_quartz	Charged Certus Quartz Crystal	5.5	4.4	2.8		宝石	1	偏低 0.43
fluix	goldentweaks:compat/ae2/fluix	Fluix Crystal	7.506	6.005	3.821		宝石	2	偏低 0.11
fluix_glass_cable	goldentweaks:compat/ae2/fluix_glass_cable	Fluix ME Glass Cable					线	2	偏低 0.43
fluix_smart_cable	goldentweaks:compat/ae2/fluix_smart_cable	Fluix ME Smart Cable					线	3	偏高 0.19
fluix_smart_dense_cable	goldentweaks:compat/ae2/fluix_smart_dense_cable	Fluix ME Dense Smart Cable					线	4	偏低 0.21
quartz_fiber	goldentweaks:compat/ae2/quartz_fiber	Quartz Fiber					线	1	偏高 0.02
purified_certus_quartz	goldentweaks:compat/ae2cs/purified_certus_quartz	Purified Certus Quartz Crystal	7.526	6.899	4.39		纯宝石	1	偏低 0.55
purified_data	goldentweaks:compat/ae2cs/purified_data	Purified Data Crystal	19.568	17.938	11.415		纯宝石	3	偏高 0.55
purified_ember	goldentweaks:compat/ae2cs/purified_ember	Purified Ember Crystal	13.566	12.435	7.913		纯宝石	2	偏高 0.55
purified_ender_quartz	goldentweaks:compat/ae2cs/purified_ender_quartz	Purified Ender Quartz	12.2	11.184	7.117		纯宝石	2	偏高 0.22
purified_energized_certus_quartz	goldentweaks:compat/ae2cs/purified_energized_certus_quartz	Purified Energized Certus Quartz Crystal	23.52	21.56	13.72		纯宝石	4	偏高 0.24
purified_energized_fluix	goldentweaks:compat/ae2cs/purified_energized_fluix	Purified Energized Fluix Crystal	23.52	21.56	13.72		纯宝石	4	偏高 0.08
purified_entro	goldentweaks:compat/ae2cs/purified_entro	Purified Entro Crystal	18.536	16.991	10.812		纯宝石	3	偏高 0.37
purified_fluix	goldentweaks:compat/ae2cs/purified_fluix	Purified Fluix Crystal	11.745	10.766	6.851		纯宝石	2	偏高 0.11
purified_irradiated	goldentweaks:compat/ae2cs/purified_irradiated	Purified Irradiated Crystal	17.497	16.038	10.207		纯宝石	3	偏高 0.18
purified_link	goldentweaks:compat/ae2cs/purified_link	Purified Link Crystal	12.656	11.601	7.382		纯宝石	2	偏高 0.33
purified_meteor	goldentweaks:compat/ae2cs/purified_meteor	Purified Meteor Crystal	11.29	10.349	6.586		纯宝石	2	偏高 0.00
