GoldenTweaks Silent Gear 材料属性列表
材料总数：394
说明：已应用材料属性列表_新材料已添加.xlsx G 列批注。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注
abyssal_spellweave_ingot	goldentweaks:compat/traveloptics/abyssal_spellweave_ingot	Abyssal Spellweave Ingot	不适用	不适用	不适用	为稀有级金属锭
aether_vestiges	goldentweaks:compat/spectrum/aether_vestiges	Aether Vestiges	25.529	20.665	7.581	为稀有级粉末
air	goldentweaks:compat/thaumcraft/air	Air Shard	8.992	5.745	2.289	
alloy_atomic	goldentweaks:compat/mekanism/alloy_atomic	Alloy Atomic	12.764	8.317	3.291	
alloy_creative	goldentweaks:compat/evolvedmekanism/alloy_creative	Alloy Creative	195.059	188.557	65.02	
alloy_exoversal	goldentweaks:compat/evolvedmekanism/alloy_exoversal	Alloy Exoversal	97.766	94.507	32.589	
alloy_hypercharged	goldentweaks:compat/evolvedmekanism/alloy_hypercharged	Alloy Hypercharged	11.225	7.025	2.819	
alloy_infused	goldentweaks:compat/mekanism/alloy_infused	Alloy Infused	12.647	8.217	3.255	
alloy_radiance	goldentweaks:compat/mekanism_extras/alloy_radiance	Alloy Radiance	12.293	7.916	3.145	
alloy_reinforced	goldentweaks:compat/mekanism/alloy_reinforced	Alloy Reinforced	10.724	6.617	2.669	
alloy_shining	goldentweaks:compat/mekanism_extras/alloy_shining	Alloy Shining	11.254	7.049	2.828	
alloy_singular	goldentweaks:compat/evolvedmekanism/alloy_singular	Alloy Singular	204.584	197.765	68.195	
alloy_spectrum	goldentweaks:compat/mekanism_extras/alloy_spectrum	Alloy Spectrum	12.603	8.18	3.241	
alloy_subatomic	goldentweaks:compat/evolvedmekanism/alloy_subatomic	Alloy Subatomic	13.304	8.782	3.46	
alloy_thermonuclear	goldentweaks:compat/mekanism_extras/alloy_thermonuclear	Alloy Thermonuclear	11.496	7.249	2.902	
aloe	goldentweaks:compat/spectrum/aloe	Aloe Leaf	不适用	不适用	不适用	
alternative_chromatic_compound	goldentweaks:compat/create_fantasizing/alternative_chromatic_compound	Alternative Chromatic Compound	25.529	20.665	7.581	为稀有级石头
aluminum_alloy_ingot	goldentweaks:compat/neoecoae/aluminum_alloy_ingot	Aluminum Alloy Ingot	35.967	22.98	9.156	增强3倍
ancient_metal_ingot	goldentweaks:compat/cataclysm/ancient_metal_ingot	Ancient Metal Ingot	17.582	12.664	4.839	
ancient_stone	goldentweaks:compat/thaumcraft/ancient_stone	Ancient Stone	7.597	4.208	1.762	
andesite_alloy	goldentweaks:compat/create/andesite_alloy	Andesite Alloy	12.367	7.979	3.168	
appleleave_fruiting	goldentweaks:compat/flavor_immersed_daily/appleleave_fruiting	Apple Leaves	不适用	不适用	不适用	
arcane_ingot	goldentweaks:compat/irons_spellbooks/arcane_ingot	Arcane Ingot	21.338	16.33	6.109	
arcane_sea_shell	goldentweaks:compat/hazennstuff/arcane_sea_shell	Arcane Sea Shell	不适用	不适用	不适用	
arcane_stone	goldentweaks:compat/thaumcraft/arcane_stone	Arcane Stone Block	9.081	5.319	2.184	
argyre	goldentweaks:compat/northstar/argyre	Argyre Log	3.248	1.379	0.634	
armadillo_scute	goldentweaks:compat/minecraft/armadillo_scute	Armadillo Scute	不适用	不适用	不适用	
ash_brick	goldentweaks:compat/supplementaries/ash_brick	Ash Brick	5.182	2.546	1.112	
astral_alloy	goldentweaks:compat/thaumcraftcelestial/astral_alloy	Astral Alloy	80.189	77.516	26.73	
balanced	goldentweaks:compat/thaumcraft/balanced	Balanced Shard	12.404	7.469	3.039	
bananawood	goldentweaks:compat/flavor_immersed_daily/bananawood	Banana Wood	3.748	1.664	0.753	
bedrock_dust	goldentweaks:compat/spectrum/bedrock_dust	Bedrock Dust	25.529	20.665	7.581	为稀有级粉末
bismuth_crystal	goldentweaks:compat/spectrum/bismuth_crystal	Bismuth Crystal	25.529	20.665	7.581	为稀有级宝石
black_iron_ingot	goldentweaks:compat/extendedcrafting/black_iron_ingot	Black Iron Ingot	16.771	10.483	4.209	增强1.5倍
black_sand	goldentweaks:compat/biomesoplenty/black_sand	Black Sand	4.929	2.385	1.047	
black_steel_ingot	goldentweaks:compat/cataclysm/black_steel_ingot	Black Steel Ingot	21.958	13.65	5.49	增强2倍
black_tungsten_alloy_ingot	goldentweaks:compat/neoecoae/black_tungsten_alloy_ingot	Black Tungsten Alloy Ingot	46.348	36.398	13.496	增强2倍
blaze	goldentweaks:compat/igleelib/blaze	Blaze Shard	14.541	9.204	3.679	
blaze_cube	goldentweaks:compat/avaritia/blaze_cube	Blaze Cube	13.34	8.813	3.471	
blazing	goldentweaks:compat/spectrum/blazing	Blazing Crystal	10.357	6.321	2.559	
blazum_ingot	goldentweaks:compat/igleelib/blazum_ingot	Blazum Ingot	22.312	13.938	5.598	增强2倍
bloody_vellum	goldentweaks:compat/irons_spellbooks/bloody_vellum	Bloody Vellum	不适用	不适用	不适用	
blossom	goldentweaks:compat/spectrum/blossom	Nephrite Blossom Leaves	不适用	不适用	不适用	
bramble	goldentweaks:compat/biomesoplenty/bramble	Bramble	12.412	8.017	3.182	
brick	goldentweaks:compat/minecraft/brick	Brick	4.522	2.129	0.944	
brimstone	goldentweaks:compat/biomesoplenty/brimstone	Brimstone	4.831	2.322	1.022	
butter	goldentweaks:compat/flavor_immersed_daily/butter	Butter	不适用	不适用	不适用	
cactus	goldentweaks:compat/biomesoplenty/cactus	Tiny Cactus	不适用	不适用	不适用	
calorian	goldentweaks:compat/northstar/calorian	Calorian Log	3.761	1.672	0.756	
canvas	goldentweaks:compat/farmersdelight/canvas	Canvas	12.389	7.997	3.175	
carambolaleave_fruiting	goldentweaks:compat/flavor_immersed_daily/carambolaleave_fruiting	Carambola Leaves	不适用	不适用	不适用	
cardboard_ingot	goldentweaks:compat/createcardboardthings/cardboard_ingot	Cardboard Ingot	11.959	7.635	3.043	
cast_iron	goldentweaks:compat/createbigcannons/cast_iron	Cast Iron Ingot	16.5	6.6	2.2	
cattail	goldentweaks:compat/biomesoplenty/cattail	Cattail	11.61	7.344	2.936	
charred_bones	goldentweaks:compat/hazennstuff/charred_bones	Charred Bones	不适用	不适用	不适用	
chestnut_nox	goldentweaks:compat/spectrum/chestnut_nox	Chestnut Noxcap Stem	3.598	1.577	0.717	
chicken	goldentweaks:compat/flavor_immersed_daily/chicken	Orlean-Style Grilled Chicken Leg	不适用	不适用	不适用	
chinese	goldentweaks:compat/flavor_immersed_daily/chinese	Chinese Leaves	不适用	不适用	不适用	
chlorophyte_ingot	goldentweaks:compat/hazennstuff/chlorophyte_ingot	Chlorophyte Ingot	25.263	15.924	6.376	增强2.2倍
chorus	goldentweaks:compat/cataclysm/chorus	Chorus Stem	3.225	1.366	0.628	
cinnamon	goldentweaks:compat/croptopia/cinnamon	Cinnamon Log	3.705	1.639	0.742	
citrine	goldentweaks:compat/spectrum/citrine	Citrine Shard	9.798	5.877	2.394	
cloth	goldentweaks:compat/createnuclear/cloth	Red Cloth	不适用	不适用	不适用	
